timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642121914798,1,http://localhost/blog/-4,200,OK,Thread Group 1-1,bin,true,,3929,539,2,2,http://localhost/blog/Content/images/blog/blogengine.ico,1,0,0
1642121914798,1,http://localhost/blog/-5,200,OK,Thread Group 1-1,text,true,,6323,548,2,2,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,1,0,0
1642121914798,1,http://localhost/blog/-6,200,OK,Thread Group 1-1,text,true,,2887,556,2,2,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,1,0,0
1642121914799,1,http://localhost/blog/-7,200,OK,Thread Group 1-1,text,true,,1421,518,2,2,http://localhost/blog/en-us.res.axd,0,0,0
1642121914799,1,http://localhost/blog/-8,200,OK,Thread Group 1-1,text,true,,92937,540,2,2,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,1,0,0
1642121914799,1,http://localhost/blog/-9,200,OK,Thread Group 1-1,text,true,,2532,537,2,2,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,1,0,0
1642121914799,1,http://localhost/blog/-10,200,OK,Thread Group 1-1,text,true,,10009,541,2,2,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,1,0,0
1642121914799,1,http://localhost/blog/-11,200,OK,Thread Group 1-1,text,true,,3068,533,2,2,http://localhost/blog/Scripts/Auto/05-json2.min.js,1,0,0
1642121914800,1,http://localhost/blog/-12,200,OK,Thread Group 1-1,text,true,,24753,525,2,2,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1642121914800,1,http://localhost/blog/-13,200,OK,Thread Group 1-1,text,true,,30406,549,2,2,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,1,0,0
1642121914800,1,http://localhost/blog/-14,200,OK,Thread Group 1-1,text,true,,44438,548,2,2,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,1,0,0
1642121914800,1,http://localhost/blog/-15,200,OK,Thread Group 1-1,text,true,,2730,554,2,2,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,1,0,0
1642121914800,1,http://localhost/blog/-16,200,OK,Thread Group 1-1,text,true,,2141,545,2,2,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,1,0,0
1642121914801,0,http://localhost/blog/-17,200,OK,Thread Group 1-1,text,true,,23342,615,2,2,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637729692413207958,0,0,0
1642121914801,1,http://localhost/blog/-18,200,OK,Thread Group 1-1,bin,true,,839,538,2,2,http://localhost/blog/Content/images/blog/rssButton.png,1,0,0
1642121914801,44,http://localhost/blog/-19,200,OK,Thread Group 1-1,bin,true,,1475,562,2,2,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,44,0,20
1642121914801,44,http://localhost/blog/-20,200,OK,Thread Group 1-1,bin,true,,3352,562,2,2,http://www.gravatar.com/avatar/0cfd6b180bda41ecaf4e158cec9de287.jpg?d=identicon,44,0,20
1642121914774,135,openHomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,326218,11429,2,2,null,6,18,1
1642121914774,135,Algo,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,326218,11429,2,2,null,6,18,1
1642121914928,1,defineRandomVars,200,OK,Thread Group 1-1,text,true,,0,0,2,2,null,0,0,0
1642121915031,4,defineRandomVars,200,OK,Thread Group 1-3,text,true,,0,0,3,3,null,0,0,0
1642121914941,100,http://localhost/blog/,200,OK,Thread Group 1-2,text,true,,326218,11429,3,3,http://localhost/blog/,11,0,1
1642121914941,11,http://localhost/blog/-0,200,OK,Thread Group 1-2,text,true,,29755,505,3,3,http://localhost/blog/,11,0,1
1642121914954,3,http://localhost/blog/-1,200,OK,Thread Group 1-2,text,true,,5349,528,3,3,http://localhost/blog/Content/Auto/Global.css,3,0,1
1642121914954,87,http://localhost/blog/-2,200,OK,Thread Group 1-2,text,true,,8896,544,3,3,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",85,0,44
1642121914954,2,http://localhost/blog/-3,200,OK,Thread Group 1-2,text,true,,25636,542,3,3,http://localhost/blog/Custom/Themes/Standard/css/styles.css,2,0,1
1642121914954,3,http://localhost/blog/-4,200,OK,Thread Group 1-2,bin,true,,3929,539,3,3,http://localhost/blog/Content/images/blog/blogengine.ico,3,0,1
1642121914954,2,http://localhost/blog/-5,200,OK,Thread Group 1-2,text,true,,6323,548,3,3,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,2,0,1
1642121914954,2,http://localhost/blog/-6,200,OK,Thread Group 1-2,text,true,,2887,556,3,3,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,2,0,0
1642121914956,1,http://localhost/blog/-7,200,OK,Thread Group 1-2,text,true,,1421,518,3,3,http://localhost/blog/en-us.res.axd,1,0,0
